"Year","N"
2000,82817.8121794805
2001,85848.3627662701
2002,86943.4452261338
2003,89559.8772419933
2004,92108.2761455179
2005,94958.0220971898
2006,98106.0472246693
2007,101288.700608336
2008,104685.474181744
2009,108237.404337429
2010,111780.652203724
2011,115579.986663941
2012,119406.434576236
2013,123278.702446273
2014,127174.610455701
2015,131003.006244563
2016,134833.844134329
2017,138588.581891386
2018,142226.956241899
2019,145712.126173151
2020,149015.695035852
2021,152115.938307109
2022,155008.387920345
2023,157706.038717262
2024,160246.418024884
2025,162697.220782944
2026,165147.621652869
2027,167697.042618074
2028,170449.589655419
2029,173490.765832071
2030,176865.823446073
2031,180584.810066187
2032,184635.036978797
2033,188986.510186763
2034,193615.939419317
2035,198534.326078489
2036,203784.199931321
2037,209431.554169578
2038,215561.281383725
2039,222253.276794555
2040,229552.195891698
2041,237458.958301333
2042,245925.6867821
2043,254847.981387926
2044,264065.834973548
2045,273369.417982464
2046,282506.603746031
2047,291203.48397445
2048,299170.86275635
2049,306163.477997738
2050,306163.477997738
