"","Year","NumF","NumM","Num","PrF","PrM","LogFM"
"1",2005,5069,11403,16472,0.307734337056824,0.692265662943176,-0.810732919185009
"2",2006,4774,10604,15378,0.310443490701001,0.689556509298999,-0.798046760510141
"3",2007,4500,9980,14480,0.310773480662983,0.689226519337017,-0.796505693547099
"4",2008,4430,9835,14265,0.310550297932001,0.689449702067999,-0.797547867783978
"5",2009,4075,9261,13336,0.305563887222556,0.694436112777445,-0.820941287495306
"6",2010,4106,9131,13237,0.310191130920904,0.689808869079096,-0.799225899037461
"7",2011,3853,8781,12634,0.304970713946494,0.695029286053506,-0.823738230733838
"8",2012,3684,8653,12337,0.29861392558969,0.70138607441031,-0.853906963231541
"9",2013,3457,8071,11528,0.299878556557946,0.700121443442054,-0.847876229402748
"10",2014,3432,7894,11326,0.303019600918241,0.696980399081759,-0.83295979561494
"11",2015,3212,7499,10711,0.299878629446364,0.700121370553636,-0.847875882234737
"12",2016,3113,7215,10328,0.301413632842758,0.698586367157242,-0.840575300766363
"13",2017,3071,6688,9759,0.31468388154524,0.68531611845476,-0.778311634323715
