Year,male,female
1901,140.0804578,185.6615443
1902,138.2587077,183.3394576
1903,136.4369576,181.0173709
1904,134.6152075,178.6952842
1905,132.7934574,176.3731974
1906,130.9717073,174.0511107
1907,129.1499572,171.729024
1908,127.3282071,169.4069373
1909,125.506457,167.0848505
1910,123.6847069,164.7627638
1911,121.8629568,162.4406771
1912,120.0412067,160.1185904
1913,118.2194566,157.7965037
1914,116.3977065,155.4744169
1915,114.5759565,153.1523302
1916,112.7542064,150.8302435
1917,110.9324563,148.5081568
1918,109.1107062,146.18607
1919,107.2889561,143.8639833
1920,105.467206,141.5418966
1921,103.6454559,139.2198099
1922,101.8237058,136.8977232
1923,100.0019557,134.5756364
1924,98.18020561,132.2535497
1925,96.35845552,129.931463
1926,94.53670542,127.6093763
1927,92.71495533,125.2872896
1928,90.89320524,122.9652028
1929,89.07145514,120.6431161
1930,87.24970505,118.3210294
1931,85.42795495,115.9989427
1932,83.60620486,113.6768559
1933,81.78445477,111.3547692
1934,79.96270467,109.0326825
1935,78.14095458,106.7105958
1936,76.31920449,104.3885091
1937,74.49745439,102.0664223
1938,72.6757043,99.74433561
1939,70.85395421,97.42224889
1940,69.03220411,95.10016217
1941,67.21045402,92.77807545
1942,65.38870392,90.45598873
1943,63.56695383,88.13390201
1944,61.74520374,85.81181528
1945,59.92345364,83.48972856
1946,58.10170355,81.16764184
1947,56.27995346,78.84555512
1948,54.45820336,76.5234684
1949,52.63645327,74.20138168
1950,50.81470318,71.87929495
1951,48.99295308,69.55720823
1952,47.17120299,67.23512151
1953,45.3494529,64.91303479
1954,43.5277028,62.59094807
1955,41.70595271,60.26886135
1956,39.88420261,57.94677462
1957,38.06245252,55.6246879
1958,36.24070243,53.30260118
1959,34.41895233,50.98051446
1960,32.63726457,47.37475284
1961,30.29886281,45.43425507
1962,29.63303694,43.60967718
1963,29.96617695,41.73874467
1964,28.44392979,38.34995869
1965,25.81876288,35.70523068
1966,24.95471553,33.05069669
1967,23.2367409,30.57677629
1968,21.3662213,28.78670383
1969,19.89024278,27.18582294
1970,19.13731052,25.24708088
1971,18.31490719,23.66042389
1972,17.69607937,21.83241244
1973,15.65977423,18.73130959
1974,14.20890389,16.42280303
1975,13.11854555,14.52453444
1976,12.80748025,12.81232549
1977,12.63009279,11.5063412
1978,12.12403374,11.29479057
1979,10.65529824,9.76406262
1980,8.511319907,6.967608348
1981,6.510747747,5.029775841
1982,5.643696868,3.417936197
1983,4.29324995,1.150351529
1984,3.319410273,-0.471439059
1985,-1.008659598,-2.52407043
1986,-5.746154121,-5.710785906
1987,-7.777217305,-9.270807139
1988,-8.433453425,-9.102634371
1989,-13.29414526,-13.81535393
1990,-16.35481177,-18.91546428
1991,-21.4227405,-23.18030204
1992,-22.97265853,-25.20108378
1993,-26.01854344,-27.77632363
1994,-25.64334055,-28.69486011
1995,-26.34692855,-32.54967832
1996,-30.57665957,-37.02044969
1997,-32.99496026,-39.54457178
1998,-34.4101735,-41.27624831
1999,-36.8428688,-45.25310636
2000,-37.85517213,-47.66456864
2001,-40.13349834,-48.06223774
2002,-43.98087392,-51.59291174
2003,-45.30967755,-53.58007827
2004,-47.12169187,-55.95645538
2005,-48.93370618,-58.33283249
2006,-50.7457205,-60.70920959
2007,-52.55773481,-63.0855867
2008,-54.36974913,-65.46196381
2009,-56.18176344,-67.83834092
2010,-57.99377776,-70.21471802
2011,-59.80579207,-72.59109513
2012,-61.61780639,-74.96747224
2013,-63.4298207,-77.34384935
2014,-65.24183502,-79.72022645
2015,-67.05384934,-82.09660356
2016,-68.86586365,-84.47298067
2017,-70.67787797,-86.84935778
2018,-72.48989228,-89.22573488
2019,-74.3019066,-91.60211199
2020,-76.11392091,-93.9784891
2021,-77.92593523,-96.35486621
2022,-79.73794954,-98.73124331
2023,-81.54996386,-101.1076204
2024,-83.36197818,-103.4839975
2025,-85.17399249,-105.8603746
2026,-86.98600681,-108.2367517
2027,-88.79802112,-110.6131289
2028,-90.61003544,-112.989506
2029,-92.42204975,-115.3658831
2030,-94.23406407,-117.7422602
2031,-96.04607838,-120.1186373
2032,-97.8580927,-122.4950144
2033,-99.67010702,-124.8713915
2034,-101.4821213,-127.2477686
2035,-103.2941356,-129.6241457
2036,-105.10615,-132.0005228
2037,-106.9181643,-134.3768999
2038,-108.7301786,-136.753277
2039,-110.5421929,-139.1296541
2040,-112.3542072,-141.5060312
2041,-114.1662215,-143.8824084
2042,-115.9782359,-146.2587855
2043,-117.7902502,-148.6351626
2044,-119.6022645,-151.0115397
2045,-121.4142788,-153.3879168
2046,-123.2262931,-155.7642939
2047,-125.0383074,-158.140671
2048,-126.8503217,-160.5170481
2049,-128.6623361,-162.8934252
2050,-130.4743504,-165.2698023
