Year,Pop
1946,6090860
1947,6497734
1948,6807601
1949,7396931
1950,7554399
1951,7869247
1952,8128374
1953,8438016
1954,8749151
1955,9077643
1956,9390381
1957,9690250
1958,10039435
1959,10431341
1960,10792202
1961,11149139
1962,11511728
1963,11883523
1964,12256682
1965,12628348
1966,12992763
1967,13296571
1968,13650370
1969,14334862
1970,14675964
1971,14994823
1972,15367774
1973,15642467
1974,15927167
1975,16223089
1976,16579737
1977,16882053
1978,17202491
1979,17543067
1980,17866008
1981,18193955
1982,18515754
1983,18790538
1984,19069194
1985,19313825
1986,19509082
1987,19725010
1988,19954397
1989,20156587
1990,20401305
1991,20605831
1992,20802622
1993,20995416
1994,21177874
1995,21357431
1996,21525433
1997,21742815
1998,21928591
1999,22092387
2000,22276672
2001,22405568
2002,22520776
2003,22604550
2004,22689122
2005,22770383
2006,22876527
2007,22958360
2008,23037031
2009,23119772
2010,23162123
2011,23224912
2012,23289535
2013,23354157
2014,23418780
2015,23458193
2016,23490940
2017,23517458
2018,23537474
2019,23550832
2020,23558616
2021,23561208
2022,23558826
2023,23551507
2024,23539063
2025,23521031
2026,23496858
2027,23465987
2028,23427881
2029,23381886
2030,23327534
2031,23264279
2032,23191751
2033,23109739
2034,23018024
2035,22916576
2036,22805289
2037,22684367
2038,22554085
2039,22414731
2040,22266945
2041,22111161
2042,21948040
2043,21777881
2044,21600738
2045,21416969
2046,21226829
2047,21030878
2048,20829706
2049,20623941
2050,20414194
